l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment
1827,90,1,1,47.00,46534.23,0.00,0.01,N,O,1996-08-01,1996-08-07,1996-08-23,TAKE BACK RETURN,RAIL,"ts. bold, even foxes haggle caref"
1827,154,9,2,48.00,50599.20,0.03,0.05,N,O,1996-08-28,1996-09-15,1996-09-01,COLLECT COD,RAIL, pending pinto beans haggle qu
1827,200,1,3,37.00,40707.40,0.01,0.07,N,O,1996-07-20,1996-08-18,1996-08-08,DELIVER IN PERSON,REG AIR,are final accounts. requests wake accordi
1827,127,10,4,4.00,4108.48,0.04,0.04,N,O,1996-07-22,1996-09-10,1996-08-11,DELIVER IN PERSON,RAIL,ly regular packages wake q
1827,80,10,5,24.00,23521.92,0.00,0.08,N,O,1996-08-07,1996-09-01,1996-09-04,DELIVER IN PERSON,SHIP,accounts use
1827,21,2,6,7.00,6447.14,0.10,0.02,N,O,1996-08-28,1996-08-07,1996-08-31,DELIVER IN PERSON,AIR,lways even s
1827,6,7,7,38.00,34428.00,0.05,0.01,N,O,1996-10-17,1996-08-29,1996-11-07,TAKE BACK RETURN,SHIP,iously express request
1828,100,4,1,33.00,33003.30,0.05,0.04,R,F,1994-06-27,1994-06-10,1994-07-24,COLLECT COD,FOB, carefully during the deposi
1828,13,3,2,40.00,36520.40,0.08,0.07,R,F,1994-05-05,1994-07-02,1994-05-19,COLLECT COD,REG AIR,es boost slyly ironic accou
1828,196,7,3,11.00,12058.09,0.07,0.08,R,F,1994-07-21,1994-05-28,1994-08-13,DELIVER IN PERSON,FOB,s dolphins. qui
1828,8,3,4,45.00,40860.00,0.02,0.05,R,F,1994-05-15,1994-05-29,1994-05-28,COLLECT COD,RAIL,fluffily furiously i
1828,79,7,5,14.00,13706.98,0.01,0.08,A,F,1994-05-20,1994-06-02,1994-05-25,TAKE BACK RETURN,SHIP,egrate slyly special deposits. enticing t
1829,150,7,1,12.00,12601.80,0.05,0.06,A,F,1994-08-23,1994-07-13,1994-09-04,DELIVER IN PERSON,FOB,nal packages. slyly special excu
1829,5,6,2,11.00,9955.00,0.04,0.05,A,F,1994-05-18,1994-06-13,1994-06-07,COLLECT COD,MAIL,the even id
1829,104,9,3,49.00,49200.90,0.09,0.08,A,F,1994-08-26,1994-08-01,1994-09-16,NONE,TRUCK,packages across t
1829,153,4,4,14.00,14744.10,0.03,0.06,A,F,1994-08-15,1994-06-08,1994-08-30,TAKE BACK RETURN,AIR,rding to the final foxes. unusual fox
1829,166,5,5,6.00,6396.96,0.02,0.07,A,F,1994-08-09,1994-08-05,1994-09-05,DELIVER IN PERSON,MAIL,he slyly regul
1829,115,5,6,36.00,36543.96,0.09,0.04,R,F,1994-06-10,1994-06-23,1994-06-22,NONE,FOB,y silent packages. carefully unusual 
1830,120,4,1,38.00,38764.56,0.00,0.07,R,F,1995-04-20,1995-05-22,1995-04-24,TAKE BACK RETURN,TRUCK,lly around
1830,25,10,2,9.00,8325.18,0.05,0.07,R,F,1995-03-09,1995-05-24,1995-03-14,NONE,SHIP,ouches wake fluffil
1830,82,3,3,36.00,35354.88,0.07,0.07,R,F,1995-04-21,1995-04-14,1995-05-10,DELIVER IN PERSON,SHIP,lar accounts unwind carefully. s
1831,136,2,1,9.00,9325.17,0.02,0.03,A,F,1993-12-17,1994-01-27,1993-12-26,NONE,TRUCK, regular accounts boost daringly ironi
1831,48,9,2,9.00,8532.36,0.07,0.06,R,F,1994-03-22,1994-01-07,1994-04-06,COLLECT COD,MAIL,uickly express packages caj
1831,115,5,3,17.00,17256.87,0.02,0.08,R,F,1994-01-18,1994-02-12,1994-01-30,TAKE BACK RETURN,MAIL,ar packages use alo
1831,95,8,4,23.00,22887.07,0.06,0.02,R,F,1993-12-21,1994-02-08,1994-01-04,NONE,SHIP,efully furiously regular depos
1856,55,10,1,10.00,9550.50,0.05,0.07,R,F,1992-05-11,1992-05-20,1992-06-02,TAKE BACK RETURN,FOB,. regular ideas serve quickly quickly 
1856,97,10,2,47.00,46863.23,0.07,0.07,R,F,1992-03-22,1992-06-09,1992-04-17,DELIVER IN PERSON,FOB,s are. requests cajole idly regular pack
1856,117,7,3,20.00,20342.20,0.04,0.06,R,F,1992-05-04,1992-05-06,1992-05-11,DELIVER IN PERSON,MAIL,"ges. bold, final requests nag blit"
1856,150,1,4,22.00,23103.30,0.08,0.02,A,F,1992-05-02,1992-05-26,1992-05-20,TAKE BACK RETURN,REG AIR,efully ironic deposits cajole slyly above t
1856,190,1,5,14.00,15262.66,0.01,0.01,A,F,1992-04-14,1992-05-02,1992-05-11,COLLECT COD,SHIP,uches are fluffily. final sheaves h
1856,23,6,6,36.00,33228.72,0.03,0.05,A,F,1992-06-19,1992-05-12,1992-06-28,TAKE BACK RETURN,TRUCK,ds. slyly ironic requests haggle. ironic
1856,130,3,7,42.00,43265.46,0.04,0.00,R,F,1992-05-23,1992-06-06,1992-06-19,COLLECT COD,RAIL,ful foxes use. furi
1857,174,5,1,15.00,16112.55,0.10,0.03,R,F,1993-04-05,1993-02-28,1993-04-13,COLLECT COD,RAIL,patterns cajole blit
1857,167,6,2,40.00,42686.40,0.10,0.00,R,F,1993-02-15,1993-03-08,1993-02-21,NONE,AIR,esias are car
1857,119,3,3,8.00,8152.88,0.01,0.07,R,F,1993-01-27,1993-04-04,1993-02-20,TAKE BACK RETURN,AIR,"xpress, final foxes use around the "
1857,100,3,4,41.00,41004.10,0.07,0.07,A,F,1993-04-16,1993-02-16,1993-04-18,NONE,REG AIR,e theodoli
1858,14,8,1,33.00,30162.33,0.01,0.02,N,O,1997-12-28,1998-02-03,1998-01-13,NONE,RAIL,ithely even requests. blit
1859,75,6,1,18.00,17551.26,0.10,0.00,N,O,1997-08-08,1997-06-30,1997-08-26,TAKE BACK RETURN,SHIP,. furiously r
1859,188,9,2,36.00,39174.48,0.02,0.01,N,O,1997-05-05,1997-07-08,1997-05-25,TAKE BACK RETURN,REG AIR,thely along the blithely final packages.
1859,158,10,3,5.00,5290.75,0.06,0.03,N,O,1997-06-20,1997-05-20,1997-07-19,TAKE BACK RETURN,AIR,"e, ironic pi"
1859,191,2,4,21.00,22914.99,0.00,0.03,N,O,1997-08-06,1997-05-29,1997-08-26,TAKE BACK RETURN,REG AIR,tes sleep blithely according 
1859,46,3,5,11.00,10406.44,0.06,0.06,N,O,1997-07-15,1997-06-05,1997-07-29,TAKE BACK RETURN,SHIP,ites cajole amon
1859,105,8,6,12.00,12061.20,0.08,0.03,N,O,1997-05-22,1997-06-08,1997-06-07,COLLECT COD,TRUCK,haggle carefully. accounts 
1860,113,4,1,9.00,9117.99,0.04,0.04,N,O,1996-08-03,1996-05-31,1996-08-04,DELIVER IN PERSON,TRUCK,ously express theodolites ar
1861,68,5,1,7.00,6776.42,0.08,0.05,A,F,1994-01-14,1994-04-03,1994-01-16,COLLECT COD,RAIL,ong the ironic
1861,27,8,2,31.00,28737.62,0.10,0.05,R,F,1994-01-29,1994-03-07,1994-02-15,TAKE BACK RETURN,RAIL,refully even exc
1861,24,9,3,23.00,21252.46,0.00,0.08,A,F,1994-04-09,1994-03-04,1994-04-11,DELIVER IN PERSON,MAIL,s instructions haggle blithely regular
1861,116,6,4,38.00,38612.18,0.10,0.05,R,F,1994-02-26,1994-02-05,1994-03-01,NONE,RAIL,ts. regularly even dependenc
1861,16,3,5,2.00,1832.02,0.03,0.08,R,F,1994-04-26,1994-03-15,1994-05-15,TAKE BACK RETURN,MAIL,ges against the ironic deposits wake 
1862,30,5,1,41.00,38131.23,0.10,0.00,N,O,1998-06-05,1998-05-17,1998-07-04,COLLECT COD,FOB,ites! furiously 
1862,166,7,2,37.00,39447.92,0.06,0.02,N,O,1998-04-15,1998-05-15,1998-05-14,TAKE BACK RETURN,MAIL,e slyly bold requests. regular
1862,104,1,3,26.00,26106.60,0.02,0.01,N,O,1998-03-25,1998-05-17,1998-04-17,TAKE BACK RETURN,TRUCK,unts cajole furiously final dolphins. 
1863,63,2,1,48.00,46226.88,0.09,0.04,A,F,1993-10-10,1993-12-09,1993-10-19,NONE,FOB,eep alongside of 
1863,157,2,2,48.00,50743.20,0.04,0.08,A,F,1993-11-08,1993-11-05,1993-12-08,COLLECT COD,AIR,egular requests. fluffily final packages ki
1888,98,10,1,27.00,26948.43,0.03,0.06,R,F,1994-02-13,1994-01-16,1994-02-25,NONE,REG AIR,he furiously even excuses? fluff
1888,74,5,2,38.00,37014.66,0.03,0.03,R,F,1993-11-29,1994-01-16,1993-12-08,TAKE BACK RETURN,TRUCK,eodolites boost
1888,80,1,3,49.00,48023.92,0.07,0.05,A,F,1994-02-27,1994-01-14,1994-03-28,DELIVER IN PERSON,FOB,even deposits wake furious
1888,19,10,4,9.00,8271.09,0.01,0.04,A,F,1994-02-09,1994-01-22,1994-02-19,NONE,AIR,tructions. requests nag. reque
1888,160,1,5,4.00,4240.64,0.03,0.06,R,F,1993-12-28,1993-12-19,1994-01-11,COLLECT COD,FOB,thely sly patterns cajole fluffily b
1888,53,8,6,48.00,45746.40,0.08,0.08,R,F,1994-02-28,1993-12-16,1994-03-15,COLLECT COD,TRUCK,ly pending packages are sl
1888,167,6,7,50.00,53358.00,0.04,0.07,R,F,1993-12-22,1994-01-10,1994-01-06,DELIVER IN PERSON,FOB,e quickly evenly final ideas. slyly ironic
1889,152,4,1,41.00,43138.15,0.10,0.02,N,O,1997-06-15,1997-05-10,1997-07-08,NONE,AIR,s. slyly regular accou
1889,172,3,2,13.00,13938.21,0.05,0.00,N,O,1997-06-12,1997-04-28,1997-06-23,NONE,REG AIR,en accounts wake furiously final deposits.
1889,138,9,3,36.00,37372.68,0.05,0.07,N,O,1997-05-19,1997-06-14,1997-05-23,NONE,SHIP,ounts. carefully iron
1889,168,5,4,5.00,5340.80,0.02,0.07,N,O,1997-06-26,1997-06-09,1997-07-21,COLLECT COD,AIR,ckly after the furiously regula
1890,141,8,1,26.00,27069.64,0.03,0.07,N,O,1997-04-02,1997-03-13,1997-04-22,DELIVER IN PERSON,FOB, quickly silent inst
1890,100,1,2,43.00,43004.30,0.07,0.03,N,O,1996-12-30,1997-01-31,1997-01-19,DELIVER IN PERSON,FOB,ole blithely quickly ironic pa
1890,59,1,3,24.00,23017.20,0.06,0.04,N,O,1997-02-09,1997-02-10,1997-02-12,COLLECT COD,MAIL,bold ideas; stealthy requests run. 
1890,68,9,4,43.00,41626.58,0.09,0.04,N,O,1997-04-08,1997-02-19,1997-04-30,TAKE BACK RETURN,FOB,"fully regular dependencies. pending, sp"
1890,122,3,5,45.00,45995.40,0.08,0.05,N,O,1997-04-15,1997-03-16,1997-04-19,COLLECT COD,FOB,t the regular accounts use furiously at the
1890,181,2,6,16.00,17298.88,0.08,0.02,N,O,1997-02-13,1997-02-18,1997-03-12,TAKE BACK RETURN,TRUCK,latelets wake carefully along the pe
1890,121,4,7,10.00,10211.20,0.01,0.04,N,O,1996-12-24,1997-02-19,1997-01-01,DELIVER IN PERSON,AIR,osits against the pe
1891,77,8,1,45.00,43968.15,0.07,0.04,A,F,1994-12-20,1995-01-16,1995-01-05,NONE,RAIL,t the furi
1891,184,5,2,18.00,19515.24,0.06,0.00,A,F,1995-01-24,1995-01-29,1995-02-14,NONE,RAIL, slyly unusual deposits
1891,198,9,3,15.00,16472.85,0.03,0.00,R,F,1995-03-11,1995-03-05,1995-03-18,TAKE BACK RETURN,MAIL,ets. bold warthogs h
1892,113,7,1,48.00,48629.28,0.02,0.01,A,F,1994-06-16,1994-06-16,1994-06-28,NONE,RAIL,anently among the b
1892,43,2,2,35.00,33006.40,0.04,0.08,R,F,1994-04-05,1994-05-09,1994-05-03,NONE,MAIL,quickly even requests boost final ac
1892,134,5,3,37.00,38262.81,0.10,0.03,R,F,1994-04-11,1994-06-04,1994-04-24,TAKE BACK RETURN,SHIP," the unusual, pending depos"
1892,197,9,4,14.00,15360.66,0.06,0.07,R,F,1994-04-08,1994-06-12,1994-04-27,DELIVER IN PERSON,FOB,l packages. furiously daring 
1893,99,1,1,43.00,42960.87,0.10,0.00,N,O,1998-01-25,1998-01-06,1998-02-14,COLLECT COD,SHIP,about the slyly silen
1893,148,9,2,49.00,51358.86,0.03,0.05,N,O,1998-01-19,1998-01-28,1998-02-02,TAKE BACK RETURN,FOB,ironic instructi
1893,45,6,3,3.00,2835.12,0.03,0.02,N,O,1998-02-10,1998-01-18,1998-02-25,DELIVER IN PERSON,MAIL,"al, special instructions wake p"
1893,101,6,4,18.00,18019.80,0.07,0.06,N,O,1998-01-24,1998-01-12,1998-02-13,TAKE BACK RETURN,RAIL,ges haggle furiously against the 
1893,53,4,5,6.00,5718.30,0.10,0.02,N,O,1998-01-23,1997-12-22,1998-02-09,DELIVER IN PERSON,TRUCK,al instructions cajole slowly. furiousl
1894,169,10,1,40.00,42766.40,0.03,0.07,R,F,1992-06-07,1992-05-11,1992-07-01,DELIVER IN PERSON,FOB,aintain. blithely even tithes wo
1895,161,6,1,43.00,45629.88,0.09,0.07,R,F,1994-07-26,1994-07-19,1994-08-11,NONE,AIR,ermanently reg
1920,96,7,1,24.00,23906.16,0.04,0.05,N,O,1998-09-27,1998-08-23,1998-10-15,DELIVER IN PERSON,AIR,rint packages. ca
1920,51,6,2,31.00,29482.55,0.05,0.06,N,O,1998-08-01,1998-08-30,1998-08-17,COLLECT COD,SHIP, packages caj
1920,18,2,3,6.00,5508.06,0.01,0.05,N,O,1998-10-01,1998-08-20,1998-10-24,COLLECT COD,SHIP,es. sly gifts nag slyl
1920,84,5,4,50.00,49204.00,0.09,0.06,N,O,1998-10-03,1998-08-04,1998-10-29,DELIVER IN PERSON,MAIL,s affix carefully. ironic pinto beans ca
1920,34,10,5,14.00,13076.42,0.08,0.05,N,O,1998-10-22,1998-08-10,1998-10-27,DELIVER IN PERSON,AIR,tions nag care
1921,21,10,1,9.00,8289.18,0.08,0.00,R,F,1994-02-01,1994-03-20,1994-03-01,DELIVER IN PERSON,FOB,y express requests wake quickly regular
1921,140,6,2,21.00,21842.94,0.02,0.06,R,F,1994-02-08,1994-03-28,1994-02-15,COLLECT COD,FOB,iers above 
1921,71,2,3,27.00,26218.89,0.00,0.04,A,F,1994-04-26,1994-04-07,1994-04-30,TAKE BACK RETURN,FOB,ans across the ironically idle
1922,10,5,1,13.00,11830.13,0.05,0.03,N,O,1996-10-24,1996-09-21,1996-11-15,NONE,SHIP,erve above the fu
1923,37,8,1,9.00,8433.27,0.01,0.08,N,O,1997-08-29,1997-09-13,1997-09-07,NONE,FOB,es haggle brave platelets. fluffily dogged 
1923,178,8,2,23.00,24797.91,0.07,0.05,N,O,1997-09-08,1997-08-11,1997-09-14,TAKE BACK RETURN,MAIL, ironic requests affix blithely! pin
1923,180,1,3,11.00,11881.98,0.03,0.03,N,O,1997-07-12,1997-09-04,1997-08-01,TAKE BACK RETURN,REG AIR,nic accounts. platelets are. foxes breach q
1923,193,5,4,49.00,53566.31,0.06,0.05,N,O,1997-07-21,1997-08-08,1997-07-26,NONE,AIR,ckages cajole quickly. sl
1923,184,5,5,25.00,27104.50,0.10,0.08,N,O,1997-08-18,1997-08-20,1997-09-12,DELIVER IN PERSON,TRUCK,ages. regular packages 
1923,37,3,6,50.00,46851.50,0.03,0.03,N,O,1997-11-04,1997-08-08,1997-11-25,NONE,TRUCK,efully bold requests grow slyly about 
1924,73,1,1,7.00,6811.49,0.06,0.07,N,O,1997-01-01,1996-12-02,1997-01-08,COLLECT COD,SHIP,"l requests. ironic, even pinto b"
1924,18,8,2,47.00,43146.47,0.02,0.06,N,O,1996-11-24,1996-10-18,1996-12-13,COLLECT COD,REG AIR," the packages. even, regular asymptotes ha"
1924,57,8,3,40.00,38282.00,0.04,0.08,N,O,1996-10-31,1996-11-30,1996-11-21,NONE,REG AIR, according to the sl
1924,34,5,4,31.00,28954.93,0.03,0.03,N,O,1996-09-20,1996-10-19,1996-10-19,DELIVER IN PERSON,SHIP,lar packages snooze carefully fu
1924,36,7,5,17.00,15912.51,0.04,0.05,N,O,1996-12-31,1996-11-12,1997-01-25,COLLECT COD,TRUCK,s shall boost regular requests. fluffily bo
1924,76,4,6,15.00,14641.05,0.02,0.04,N,O,1997-01-04,1996-11-13,1997-01-27,NONE,SHIP,scapades s
1924,40,1,7,21.00,19740.84,0.09,0.03,N,O,1996-09-21,1996-11-12,1996-10-02,TAKE BACK RETURN,AIR,"n, regular as"
1925,184,5,1,50.00,54209.00,0.01,0.02,R,F,1992-04-12,1992-04-23,1992-05-08,TAKE BACK RETURN,TRUCK," the bold, "
1925,135,1,2,35.00,36229.55,0.06,0.06,R,F,1992-05-11,1992-04-10,1992-05-14,TAKE BACK RETURN,AIR, theodolites cajole. foxes are furiously s
1925,116,10,3,40.00,40644.40,0.08,0.08,A,F,1992-05-17,1992-05-20,1992-06-08,TAKE BACK RETURN,AIR,lose deposits. ca
1925,30,5,4,17.00,15810.51,0.06,0.02,R,F,1992-05-18,1992-04-06,1992-06-16,TAKE BACK RETURN,MAIL,ecial accounts sleep carefull
1926,51,9,1,24.00,22825.20,0.06,0.05,N,O,1996-05-04,1996-03-14,1996-06-01,DELIVER IN PERSON,RAIL,elets. slyly f
1926,106,9,2,29.00,29176.90,0.09,0.08,N,O,1996-02-26,1996-03-14,1996-03-14,TAKE BACK RETURN,TRUCK,ronic epitaphs. quickly bold package
1926,178,6,3,10.00,10781.70,0.02,0.03,N,O,1996-05-23,1996-03-02,1996-06-04,NONE,AIR,uriously. regular requests detect ca
1926,68,9,4,13.00,12584.78,0.04,0.02,N,O,1996-04-26,1996-04-13,1996-05-08,DELIVER IN PERSON,MAIL,ounts nag qui
1926,40,1,5,29.00,27261.16,0.06,0.00,N,O,1996-02-29,1996-03-13,1996-03-24,DELIVER IN PERSON,MAIL, foxes cajole against the furiously p
1927,68,5,1,3.00,2904.18,0.00,0.05,N,O,1995-10-06,1995-12-08,1995-11-05,COLLECT COD,FOB, excuses caj
1927,73,2,2,15.00,14596.05,0.08,0.08,N,O,1995-12-25,1995-12-26,1995-12-31,COLLECT COD,RAIL,ounts haggle blithely according to th
1927,65,10,3,6.00,5790.36,0.05,0.05,N,O,1995-11-29,1995-11-20,1995-12-08,TAKE BACK RETURN,TRUCK,y regular deposits
1952,53,8,1,7.00,6671.35,0.04,0.05,A,F,1994-05-06,1994-06-11,1994-05-12,NONE,RAIL,hely beside the carefully fi
1952,142,5,2,6.00,6252.84,0.06,0.05,A,F,1994-05-09,1994-05-21,1994-05-26,DELIVER IN PERSON,AIR,ecial theodolites
1953,128,1,1,25.00,25703.00,0.07,0.06,A,F,1994-01-07,1994-01-28,1994-01-29,TAKE BACK RETURN,RAIL,furiously regul
1953,14,5,2,35.00,31990.35,0.06,0.06,R,F,1994-02-03,1994-02-25,1994-02-14,DELIVER IN PERSON,FOB,furiously bli
1954,152,7,1,31.00,32616.65,0.06,0.06,N,O,1997-08-18,1997-07-07,1997-09-03,DELIVER IN PERSON,RAIL,eep above the courts. sometimes iron
1954,182,3,2,1.00,1082.18,0.03,0.01,N,O,1997-09-16,1997-07-08,1997-10-07,COLLECT COD,MAIL,e. silent deposits solve accordi
1954,199,2,3,11.00,12091.09,0.07,0.07,N,O,1997-08-07,1997-07-23,1997-08-25,DELIVER IN PERSON,TRUCK, regular requests
1954,159,4,4,12.00,12709.80,0.02,0.08,N,O,1997-07-19,1997-07-04,1997-08-06,COLLECT COD,AIR,ymptotes haggle busily even deposits. fina
1954,170,7,5,29.00,31034.93,0.08,0.08,N,O,1997-08-25,1997-07-15,1997-09-02,DELIVER IN PERSON,RAIL,y special courts wake slyly. car
1954,177,8,6,13.00,14003.21,0.00,0.07,N,O,1997-06-15,1997-08-22,1997-06-20,TAKE BACK RETURN,MAIL,nding theodolites shall nod 
1954,194,5,7,49.00,53615.31,0.05,0.06,N,O,1997-06-04,1997-08-29,1997-06-14,COLLECT COD,TRUCK,nstructions nag slyly among the pendin
1955,137,3,1,32.00,33188.16,0.02,0.02,A,F,1992-07-05,1992-06-29,1992-08-03,TAKE BACK RETURN,TRUCK,ly special requests sle
1955,18,8,2,2.00,1836.02,0.03,0.01,R,F,1992-07-06,1992-07-06,1992-08-01,COLLECT COD,TRUCK,bout the fu
1955,158,6,3,41.00,43384.15,0.08,0.06,A,F,1992-08-01,1992-06-04,1992-08-07,COLLECT COD,AIR,y regular requests! stealthily ironi
1955,9,4,4,16.00,14544.00,0.03,0.07,A,F,1992-04-30,1992-06-23,1992-05-23,TAKE BACK RETURN,FOB,lyly across th
1955,159,10,5,11.00,11650.65,0.09,0.01,A,F,1992-06-03,1992-07-04,1992-06-07,NONE,REG AIR,ar dependencies caj
1956,177,8,1,8.00,8617.36,0.02,0.04,A,F,1992-12-25,1992-11-24,1993-01-12,TAKE BACK RETURN,AIR,ress instructions sleep busily. sl
1956,103,6,2,16.00,16049.60,0.00,0.05,R,F,1992-11-11,1992-11-11,1992-11-30,NONE,FOB,kages sleep carefully a
1956,139,5,3,39.00,40526.07,0.08,0.02,A,F,1992-09-24,1992-11-26,1992-10-15,DELIVER IN PERSON,REG AIR,ly bold platelets. special inst
1956,29,10,4,11.00,10219.22,0.10,0.00,A,F,1992-12-19,1992-10-29,1993-01-07,TAKE BACK RETURN,AIR,uriously special
1956,155,10,5,16.00,16882.40,0.08,0.02,R,F,1992-09-28,1992-10-21,1992-09-30,TAKE BACK RETURN,FOB,its wake slyly a
1957,79,9,1,50.00,48953.50,0.09,0.05,N,O,1998-08-08,1998-09-28,1998-08-27,COLLECT COD,FOB,ously regular
1957,119,3,2,31.00,31592.41,0.10,0.08,N,O,1998-08-13,1998-08-31,1998-08-16,NONE,REG AIR,ckages. ironic decoys serve unus
1958,73,2,1,9.00,8757.63,0.01,0.05,N,O,1995-12-08,1995-12-17,1995-12-18,DELIVER IN PERSON,REG AIR,le closely final f
1958,176,7,2,29.00,31208.93,0.05,0.06,N,O,1996-01-19,1995-12-05,1996-02-14,COLLECT COD,SHIP,fix quickly. 
1958,102,3,3,4.00,4008.40,0.04,0.02,N,O,1995-10-24,1995-12-09,1995-10-28,DELIVER IN PERSON,AIR,bold dinos. slyly unusual a
1958,83,4,4,38.00,37357.04,0.09,0.07,N,O,1995-10-09,1995-11-26,1995-11-05,COLLECT COD,TRUCK,"ironic dinos sleep above the regular,"
1958,101,8,5,31.00,31034.10,0.08,0.01,N,O,1995-10-31,1995-11-12,1995-11-07,TAKE BACK RETURN,TRUCK,icingly fina
1958,17,4,6,44.00,40348.44,0.08,0.04,N,O,1995-12-17,1995-11-30,1996-01-15,TAKE BACK RETURN,RAIL, foxes. ideas are carefully. final acco
1958,39,5,7,29.00,27231.87,0.02,0.05,N,O,1995-10-14,1995-11-06,1995-11-01,NONE,REG AIR,deas. silent foxes cajole furiously.
1959,169,10,1,46.00,49181.36,0.04,0.00,N,O,1997-05-05,1997-03-03,1997-05-24,TAKE BACK RETURN,AIR,ully blithely
1959,120,7,2,15.00,15301.80,0.08,0.07,N,O,1997-01-20,1997-02-18,1997-02-08,DELIVER IN PERSON,MAIL,ajole. expr
1984,53,5,1,45.00,42887.25,0.03,0.04,N,O,1998-04-09,1998-06-11,1998-05-01,COLLECT COD,AIR,rding to the slyly final i
1984,70,7,2,35.00,33952.45,0.01,0.07,N,O,1998-05-18,1998-05-04,1998-06-01,COLLECT COD,RAIL,even deposits are carefully from the even 
1985,28,1,1,33.00,30624.66,0.10,0.03,R,F,1994-12-04,1994-11-01,1994-12-05,DELIVER IN PERSON,FOB,s haggle carefully quickly eve
1985,21,6,2,50.00,46051.00,0.04,0.02,R,F,1994-09-30,1994-10-18,1994-10-12,COLLECT COD,AIR,ys about the furiously r
1985,134,10,3,20.00,20682.60,0.07,0.03,R,F,1994-10-29,1994-11-12,1994-11-27,NONE,TRUCK,ts. platelets alongside of the slyl
1985,199,10,4,30.00,32975.70,0.05,0.07,R,F,1994-09-06,1994-10-10,1994-09-26,NONE,RAIL,ents detect! 
1985,124,9,5,42.00,43013.04,0.05,0.05,R,F,1994-10-25,1994-11-03,1994-11-19,DELIVER IN PERSON,SHIP,ely regular packages nag. quickly bold
1985,20,7,6,2.00,1840.04,0.02,0.00,A,F,1994-11-25,1994-10-09,1994-12-25,TAKE BACK RETURN,FOB,uriously exp
1986,92,3,1,12.00,11905.08,0.06,0.05,A,F,1994-08-17,1994-06-28,1994-09-02,COLLECT COD,RAIL,c tithes haggle ironic account
1986,105,8,2,10.00,10051.00,0.10,0.03,R,F,1994-05-14,1994-06-21,1994-06-02,COLLECT COD,REG AIR,ackages integrate along the 
1986,63,2,3,14.00,13482.84,0.04,0.02,R,F,1994-07-14,1994-06-19,1994-08-08,NONE,SHIP,excuses ought to integrate car
1987,16,6,1,7.00,6412.07,0.03,0.03,A,F,1994-07-30,1994-07-06,1994-08-29,NONE,REG AIR,r pinto be
1988,72,1,1,36.00,34994.52,0.09,0.04,N,O,1996-01-21,1995-11-24,1996-01-27,NONE,RAIL,ecial foxes sleep e
1988,199,3,2,19.00,20884.61,0.08,0.08,N,O,1996-02-03,1995-12-10,1996-02-14,COLLECT COD,FOB,fix slyly. slyly quiet accounts affix cl
1988,54,6,3,8.00,7632.40,0.06,0.01,N,O,1995-10-20,1995-11-11,1995-11-18,DELIVER IN PERSON,AIR,ully regular 
1988,36,2,4,27.00,25272.81,0.08,0.00,N,O,1996-01-27,1995-12-24,1996-02-24,TAKE BACK RETURN,TRUCK, sly packages are according to the regular
1988,79,8,5,26.00,25455.82,0.08,0.04,N,O,1996-01-25,1995-12-15,1996-01-26,COLLECT COD,SHIP,y bold accounts. expre
1988,86,7,6,9.00,8874.72,0.08,0.03,N,O,1995-12-26,1996-01-02,1996-01-25,DELIVER IN PERSON,MAIL,e final braids haggle after the b
1989,10,7,1,47.00,42770.47,0.10,0.02,R,F,1994-06-21,1994-05-27,1994-06-22,TAKE BACK RETURN,REG AIR,yly above the qu
1990,101,2,1,46.00,46050.60,0.01,0.07,R,F,1994-12-29,1995-03-14,1995-01-13,NONE,TRUCK,g instructions
1991,110,3,1,39.00,39394.29,0.06,0.02,A,F,1993-01-01,1992-11-29,1993-01-10,TAKE BACK RETURN,TRUCK, above the blithely even dep
1991,53,1,2,49.00,46699.45,0.08,0.06,R,F,1992-10-19,1992-11-29,1992-10-25,NONE,SHIP,luffily special p
1991,174,5,3,6.00,6445.02,0.02,0.01,A,F,1992-11-02,1992-10-08,1992-11-14,TAKE BACK RETURN,REG AIR,special dugou
1991,138,9,4,6.00,6228.78,0.10,0.06,A,F,1992-11-21,1992-11-03,1992-11-27,NONE,RAIL,lyly unusual deposits ha
1991,60,8,5,49.00,47042.94,0.06,0.00,R,F,1992-09-10,1992-11-30,1992-10-07,NONE,AIR,re fluffily. final pac
2016,147,4,1,2.00,2094.28,0.02,0.07,N,O,1996-10-12,1996-11-09,1996-10-31,DELIVER IN PERSON,TRUCK,cording to the sheaves. car
2016,63,8,2,15.00,14445.90,0.04,0.05,N,O,1996-09-24,1996-10-05,1996-10-21,TAKE BACK RETURN,MAIL,luffily regular theodolites. bold requ
2016,122,7,3,8.00,8176.96,0.09,0.02,N,O,1996-09-19,1996-10-21,1996-10-13,TAKE BACK RETURN,SHIP,tions breach slyly. pending depths unwi
2017,103,4,1,49.00,49151.90,0.10,0.06,N,O,1998-05-26,1998-07-01,1998-06-06,COLLECT COD,TRUCK,evenly. accounts boost unusual pinto
2017,71,2,2,14.00,13594.98,0.07,0.04,N,O,1998-06-28,1998-06-15,1998-07-11,NONE,TRUCK,arefully do
